,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Location
171069,1830,Drug Violation,DRUGS - SICK ASSIST - HEROIN,B2,261,Thursday,21,Part Two,BROOK AVE,"(42.32049227, -71.07406144)"
171070,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B3,444,Thursday,21,Part Two,AMERICAN LEGION HWY,"(42.29817919, -71.08692159)"
171071,423,Aggravated Assault,ASSAULT - AGGRAVATED,B3,444,Thursday,21,Part One,AMERICAN LEGION HWY,"(42.29817919, -71.08692159)"
171072,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",B3,444,Thursday,21,Part Two,AMERICAN LEGION HWY,"(42.29817919, -71.08692159)"
171073,2405,Disorderly Conduct,DISORDERLY CONDUCT,E5,562,Thursday,21,Part Two,WASHINGTON ST,"(42.28788933, -71.12658585)"
171074,3301,Verbal Disputes,VERBAL DISPUTE,B2,319,Thursday,21,Part Three,NAZING CT,"(42.30752440, -71.08720471)"
171075,3410,Towed,TOWED MOTOR VEHICLE,D14, ,Thursday,22,Part Three,COMMONWEALTH AVE,"(42.35115388, -71.11703179)"
171076,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E18,542,Thursday,21,Part One,RIVER ST,"(42.25539358, -71.12678706)"
171077,3207,Property Found,PROPERTY - FOUND,E13,574,Thursday,22,Part Three,WASHINGTON ST,"(42.30971857, -71.10429432)"
171078,3115,Investigate Person,INVESTIGATE PERSON,C11,347,Thursday,19,Part Three,LYON ST,"(42.30638323, -71.06021218)"
171079,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,258,Thursday,21,Part One,VIRGINIA ST,"(42.31539445, -71.06860329)"
171080,3501,Missing Person Reported,MISSING PERSON,B3,453,Thursday,17,Part Three,ALGONQUIN ST,"(42.29742411, -71.07531358)"
171081,3502,Missing Person Located,MISSING PERSON - LOCATED,B3,453,Thursday,17,Part Three,ALGONQUIN ST,"(42.29742411, -71.07531358)"
171082,3301,Verbal Disputes,VERBAL DISPUTE,A7,907,Thursday,21,Part Three,LONDON ST,"(42.37079340, -71.04111507)"
171083,3301,Verbal Disputes,VERBAL DISPUTE,C6,936,Thursday,20,Part Three,DALESSIO CT,"(42.33913252, -71.05465387)"
171084,3301,Verbal Disputes,VERBAL DISPUTE,B2,901,Thursday,21,Part Three,SMITH ST,"(42.33310987, -71.09704528)"
171085,802,Simple Assault,ASSAULT SIMPLE - BATTERY,E13,583,Thursday,20,Part Two,MINDEN ST,"(42.32535981, -71.10648023)"
171086,1402,Vandalism,VANDALISM,E13,583,Thursday,20,Part Two,MINDEN ST,"(42.32535981, -71.10648023)"
171087,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,C11,367,Thursday,21,Part Two,HANCOCK ST,"(42.31043400, -71.06134010)"
171088,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,146,Thursday,20,Part Three,HUNTINGTON AVE,"(42.34665908, -71.07997968)"
171089,2905,Violations,VAL - OPERATING WITHOUT LICENSE,B2,310,Thursday,21,Part Two,HAZELWOOD ST,"(42.31727763, -71.08250414)"
171090,2647,Other,THREATS TO DO BODILY HARM,C6,915,Thursday,19,Part Two,E NINTH ST,"(42.33146325, -71.05012560)"
171091,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,276,Thursday,20,Part Two,ALLSTATE RD,"(42.32809966, -71.06321676)"
171092,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,C6,223,Thursday,20,Part Three,E BROADWAY,"(42.33566691, -71.03335349)"
171093,3301,Verbal Disputes,VERBAL DISPUTE,B2,308,Thursday,20,Part Three,WALNUT AVE,"(42.31966035, -71.08946896)"
171094,611,Larceny,LARCENY PICK-POCKET,C6,186,Thursday,18,Part One,ALLSTATE RD,"(0.00000000, 0.00000000)"
171095,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,327,Thursday,19,Part Three,MAGNOLIA ST,"(42.31258278, -71.07290449)"
171097,311,Robbery,ROBBERY - COMMERCIAL,B2,316,Thursday,20,Part One,HUMBOLDT AVE,"(42.31283412, -71.08974712)"
171098,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,23,Thursday,20,Part Three,PRINCETON ST,"(42.37766000, -71.03560198)"
171099,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,E5,910,Thursday,19,Part Three,WASHINGTON ST,"(42.27800645, -71.13733723)"
171100,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,C11,367,Thursday,20,Part Two,HANCOCK ST,"(42.31043400, -71.06134010)"
171101,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,E13,303,Thursday,20,Part Three,COLUMBUS AVE,"(42.31771185, -71.09836379)"
171102,619,Larceny,LARCENY ALL OTHERS,A1,77,Thursday,19,Part One,CANAL ST,"(42.36489527, -71.06050249)"
171103,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),A1,114,Tuesday,0,Other,ATLANTIC AVE,"(42.35438252, -71.05213281)"
171104,2629,Harassment,HARASSMENT,C6,210,Thursday,20,Part Two,D ST,"(42.34454105, -71.04416497)"
171105,3115,Investigate Person,INVESTIGATE PERSON,D4,163,Monday,13,Part Three,BRADFORD ST,"(42.34225865, -71.06949998)"
171106,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,C11,817,Wednesday,18,Part Three,MELBOURNE ST,"(42.28952022, -71.06531693)"
171107,3130,Search Warrants,SEARCH WARRANT,C11,391,Thursday,20,Part Three,HARRISON AVE,"(42.33954199, -71.06940877)"
171108,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,469,Thursday,19,Part Three,HIAWATHA RD,"(42.27683754, -71.09526440)"
171109,2616,Other,POSSESSION OF BURGLARIOUS TOOLS,C11,236,Thursday,18,Part Two,COLUMBIA RD,"(42.32030801, -71.05765038)"
171110,3125,Warrant Arrests,WARRANT ARREST,C11,236,Thursday,18,Part Three,COLUMBIA RD,"(42.32030801, -71.05765038)"
171111,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,C6,177,Thursday,19,Part Two,MASSACHUSETTS AVE,"(42.32856401, -71.06835343)"
171112,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C6,177,Thursday,19,Part Two,MASSACHUSETTS AVE,"(42.32856401, -71.06835343)"
171113,1806,Drug Violation,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,C6,177,Thursday,19,Part Two,MASSACHUSETTS AVE,"(42.32856401, -71.06835343)"
171114,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,C6,177,Thursday,18,Part Two,MASSACHUSETTS AVE,"(42.33152148, -71.07085307)"
171115,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C6,177,Thursday,18,Part Two,MASSACHUSETTS AVE,"(42.33152148, -71.07085307)"
171116,1815,Drug Violation,DRUGS - POSSESSION,C6,177,Thursday,16,Part Two,MASSACHUSETTS AVE,"(42.33152148, -71.07085307)"
171117,1847,Drug Violation,DRUGS - POSS CLASS C - INTENT TO MFR DIST DISP,C6,177,Thursday,16,Part Two,MASSACHUSETTS AVE,"(42.33152148, -71.07085307)"
171118,3125,Warrant Arrests,WARRANT ARREST,C6,177,Thursday,16,Part Three,MASSACHUSETTS AVE,"(42.33152148, -71.07085307)"
171119,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,D4,270,Thursday,19,Part Two,NORTHAMPTON ST,"(42.33395125, -71.07538939)"
171120,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,D4,270,Thursday,19,Part Two,NORTHAMPTON ST,"(42.33395125, -71.07538939)"
171121,1846,Drug Violation,DRUGS - POSS CLASS E,B2,329,Thursday,19,Part Two,COLUMBIA RD,"(42.30710099, -71.07666013)"
171122,3125,Warrant Arrests,WARRANT ARREST,B2,329,Thursday,19,Part Three,COLUMBIA RD,"(42.30710099, -71.07666013)"
171123,1844,Drug Violation,DRUGS - POSS CLASS C,B2,329,Thursday,19,Part Two,COLUMBIA RD,"(42.30710099, -71.07666013)"
171124,724,Auto Theft,AUTO THEFT,B2,259,Thursday,19,Part One,CEYLON ST,"(42.31252369, -71.07163872)"
171125,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,B3,465,Thursday,19,Part Two,BLUE HILL AVE,"(42.28482577, -71.09137369)"
171126,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,94,Thursday,19,Part Three,CLINTON ST,"(42.36079500, -71.05375700)"
171127,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E5,932,Thursday,19,Part Two,WASHINGTON ST,"(42.27581799, -71.13991259)"
171128,3115,Investigate Person,INVESTIGATE PERSON,B3,468,Thursday,18,Part Three,BLUE HILL AVE,"(42.27776880, -71.09334841)"
171129,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,E5,691,Thursday,19,Part Two,CENTRE ST,"(42.28709355, -71.14822128)"
171130,3115,Investigate Person,INVESTIGATE PERSON,E5,691,Thursday,19,Part Three,CENTRE ST,"(42.28709355, -71.14822128)"
171131,3125,Warrant Arrests,WARRANT ARREST,E5,691,Thursday,19,Part Three,CENTRE ST,"(42.28709355, -71.14822128)"
171132,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,E5,691,Thursday,19,Part Two,CENTRE ST,"(42.28709355, -71.14822128)"
171133,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,367,Thursday,17,Part Three,GIBSON ST,"(42.29755533, -71.05970910)"
171134,1001,Counterfeiting,FORGERY / COUNTERFEITING,D14,803,Thursday,18,Part Two,EVERETT ST,"(42.35497227, -71.13865170)"
171135,1402,Vandalism,VANDALISM,E13,303,Thursday,12,Part Two,AMORY ST,"(42.31993329, -71.09941432)"
171136,617,Larceny,LARCENY THEFT FROM BUILDING,B2,326,Thursday,7,Part One,FAYSTON ST,"(42.31224327, -71.07549901)"
171137,311,Robbery,ROBBERY - COMMERCIAL,E13,606,Thursday,18,Part One,S HUNTINGTON AVE,"(42.33136931, -71.11185116)"
171138,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,C11,343,Thursday,18,Part Three,PARIS ST,"(42.37081805, -71.03929078)"
171139,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,804,Thursday,18,Part Three,N BEACON ST,"(42.35458999, -71.14294359)"
171141,1832,Drug Violation,DRUGS - SICK ASSIST - OTHER HARMFUL DRUG,D4,619,Thursday,11,Part Two,SYMPHONY RD,"(42.34295335, -71.08833139)"
171142,2647,Other,THREATS TO DO BODILY HARM,B2,309,Thursday,18,Part Two,HUMBOLDT AVE,"(42.32026165, -71.08600267)"
171143,3301,Verbal Disputes,VERBAL DISPUTE,B2,292,Thursday,17,Part Three,JOHN ELIOT SQ,"(42.33001318, -71.09117863)"
171145,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,D4,133,Thursday,14,Part Two,NEWBURY ST,"(42.35237073, -71.07227173)"
171146,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,A1,111,Thursday,16,Part Three,AVENUE DE LAFAYETTE,"(42.35389258, -71.06214998)"
171147,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,23,Thursday,16,Part Three,BENNINGTON ST,"(42.37546983, -71.03730221)"
171148,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,463,Thursday,17,Part Three,WILBERT RD,"(42.29406247, -71.09004553)"
171149,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,E18,542,Thursday,17,Part Three,CLEVELAND ST,"(42.25422220, -71.12880605)"
171150,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,402,Thursday,17,Part One,DORCHESTER AVE,"(42.28526024, -71.06444063)"
171151,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,357,Thursday,17,Part Two,BLOOMFIELD ST,"(42.29910777, -71.06829572)"
171152,3807,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER CITY VEHICLE,A1,124,Thursday,17,Part Three,ALBANY ST,"(42.35014256, -71.05973905)"
171153,1107,Fraud,FRAUD - IMPERSONATION,A7,28,Thursday,17,Part Two,PARIS ST,"(42.37248334, -71.03752375)"
171154,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,328,Thursday,4,Part Two,INTERVALE ST,"(42.30942147, -71.07460029)"
171155,1846,Drug Violation,DRUGS - POSS CLASS E,D14,765,Thursday,17,Part Two,ARLINGTON ST,"(42.35274116, -71.16003433)"
171156,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,D14,765,Thursday,17,Part Two,ARLINGTON ST,"(42.35274116, -71.16003433)"
171157,2914,Violations,VAL - OPERATING W/O AUTHORIZATION LAWFUL,D14,765,Thursday,17,Part Two,ARLINGTON ST,"(42.35274116, -71.16003433)"
171158,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",D14,765,Thursday,17,Part Two,ARLINGTON ST,"(42.35274116, -71.16003433)"
171159,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,D14,765,Thursday,17,Part Two,ARLINGTON ST,"(42.35274116, -71.16003433)"
171160,301,Robbery,ROBBERY - STREET,A1,120,Thursday,15,Part One,PARK PLZ,"(42.35162789, -71.06866410)"
171161,3502,Missing Person Located,MISSING PERSON - LOCATED,C11,366,Wednesday,11,Part Three,LONSDALE ST,"(42.29037676, -71.06139736)"
171162,3501,Missing Person Reported,MISSING PERSON,C11,366,Wednesday,11,Part Three,LONSDALE ST,"(42.29037676, -71.06139736)"
171163,615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,A1,127,Saturday,4,Part One,TREMONT ST,"(42.34868544, -71.06608848)"
171164,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E18,521,Thursday,16,Part Three,HYDE PARK AVE,"(42.25546877, -71.12417959)"
171165,1874,Drug Violation,DRUGS - OTHER,C11,343,Monday,7,Part Two,PARIS ST,"(42.37081805, -71.03929078)"
171166,3207,Property Found,PROPERTY - FOUND,C11,343,Monday,7,Part Three,PARIS ST,"(42.37081805, -71.03929078)"
171167,3007,Medical Assistance,SUDDEN DEATH,E5,712,Thursday,15,Part Three,ROCKINGHAM AVE,"(42.26483265, -71.15567877)"
171168,3001,Medical Assistance,DEATH INVESTIGATION,E5,712,Thursday,15,Part Three,ROCKINGHAM AVE,"(42.26483265, -71.15567877)"
171169,3201,Property Lost,PROPERTY - LOST,C11,336,Thursday,9,Part Three,HAMILTON ST,"(42.30770885, -71.06901874)"
171170,2647,Other,THREATS TO DO BODILY HARM,B3,476,Thursday,16,Part Two,BLUE HILL AVE,"(42.26994732, -71.09380308)"
171171,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,E5,691,Thursday,17,Part Three,W BROADWAY,"(42.34128751, -71.05467933)"
171172,3501,Missing Person Reported,MISSING PERSON,B3,466,Monday,13,Part Three,GREENDALE RD,"(42.28553375, -71.09422962)"
171173,3502,Missing Person Located,MISSING PERSON - LOCATED,B3,466,Monday,13,Part Three,GREENDALE RD,"(42.28553375, -71.09422962)"
171174,802,Simple Assault,ASSAULT SIMPLE - BATTERY,E18,528,Thursday,15,Part Two,SPRAGUE ST,"(42.23405146, -71.13882916)"
171176,617,Larceny,LARCENY THEFT FROM BUILDING,A1,116,Thursday,16,Part One,BEACH ST,"(42.35142278, -71.06084508)"
171177,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,112,Thursday,16,Part Two,WASHINGTON ST,"(42.35512339, -71.06087980)"
171178,3114,Investigate Property,INVESTIGATE PROPERTY,D14,803,Friday,6,Part Three,RUGG RD,"(42.35493413, -71.13536186)"
171179,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,D14,764,Thursday,15,Part Three,ARLINGTON ST,"(42.35265053, -71.15668779)"
171180,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,A1,97,Wednesday,19,Part Three,TREMONT ST,"(42.35907171, -71.05973044)"
171182,613,Larceny,LARCENY SHOPLIFTING,B2,458,Thursday,16,Part One,BLUE HILL AVE,"(42.30938437, -71.08262277)"
171183,2610,Other,TRESPASSING,B2,458,Thursday,16,Part Two,BLUE HILL AVE,"(42.30938437, -71.08262277)"
171184,3125,Warrant Arrests,WARRANT ARREST,B2,458,Thursday,16,Part Three,BLUE HILL AVE,"(42.30938437, -71.08262277)"
171185,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,C11,370,Sunday,17,Part Two,WILLIAM T MORRISSEY BLVD,"(42.29623685, -71.04853645)"
171186,2629,Harassment,HARASSMENT,D4,160,Thursday,11,Part Two,HANSON ST,"(42.34379336, -71.07036271)"
171188,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D14,798,Thursday,15,Part Two,COMMONWEALTH AVE,"(42.35216801, -71.12457096)"
171190,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,469,Monday,15,Part Three,ALMONT ST,"(42.27527670, -71.09554245)"
171191,351,Robbery,ROBBERY - BANK,B3,437,Thursday,14,Part One,TALBOT AVE,"(42.29041538, -71.07269542)"
171192,361,Robbery,ROBBERY - OTHER,B3,437,Thursday,14,Part One,TALBOT AVE,"(42.29041538, -71.07269542)"
171193,3125,Warrant Arrests,WARRANT ARREST,B3,437,Thursday,14,Part Three,TALBOT AVE,"(42.29041538, -71.07269542)"
171195,619,Larceny,LARCENY ALL OTHERS,E13,578,Thursday,14,Part One,SHERIDAN ST,"(42.32091109, -71.10759322)"
171196,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E18,512,Tuesday,16,Part One,ALBION ST,"(42.25306838, -71.11498275)"
171197,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,138,Saturday,21,Part Three,EXETER ST,"(42.35011913, -71.07979650)"
171198,3114,Investigate Property,INVESTIGATE PROPERTY,B2,299,Wednesday,9,Part Three,REGENT ST,"(42.32347517, -71.08750190)"
171199,311,Robbery,ROBBERY - COMMERCIAL,E18,503,Thursday,14,Part One,AMERICAN LEGION HWY,"(42.28446743, -71.11183089)"
171201,3301,Verbal Disputes,VERBAL DISPUTE,B2,320,Thursday,14,Part Three,CHARLOTTE ST,"(42.29944216, -71.08489748)"
171202,3501,Missing Person Reported,MISSING PERSON,C11,334,Tuesday,16,Part Three,RONAN ST,"(42.31106545, -71.06693233)"
171203,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,C11,352,Thursday,14,Part Two,GENEVA AVE,"(42.29979690, -71.06533457)"
171204,2007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,E18,493,Thursday,14,Part Two,RIVER ST,"(42.26062899, -71.11523335)"
171205,2005,Offenses Against Child / Family,CHILD ENDANGERMENT,C11,336,Wednesday,20,Part Two,OLNEY ST,"(42.30553202, -71.07031161)"
171206,3830,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PERSONAL INJURY,B2,593,Thursday,13,Part Three,HUNTINGTON AVE,"(42.33400810, -71.10527895)"
171207,619,Larceny,LARCENY ALL OTHERS,B2,279,Wednesday,18,Part One,DUDLEY ST,"(42.32859700, -71.08274741)"
171208,301,Robbery,ROBBERY - STREET,B2,279,Wednesday,18,Part One,DUDLEY ST,"(42.32859700, -71.08274741)"
171209,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E18,486,Thursday,14,Part One,TAUNTON AVE,"(42.26565899, -71.10363503)"
171210,3007,Medical Assistance,SUDDEN DEATH,B3,422,Thursday,12,Part Three,RIVER ST,"(42.27133005, -71.08299865)"
171211,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,85,Thursday,13,Part Three,COOPER ST,"(42.36440547, -71.05586180)"
171212,3410,Towed,TOWED MOTOR VEHICLE,E5,556,Thursday,13,Part Three,SEYMOUR ST,"(42.27976705, -71.12162449)"
171213,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,D4,620,Wednesday,12,Part Three,HEMENWAY ST,"(42.34587157, -71.08938851)"
171215,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,377,Thursday,13,Part One,TRAIN ST,"(42.29210306, -71.05384541)"
171216,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,A7,29,Thursday,13,Part One,BREMEN ST,"(42.37167554, -71.03563919)"
171217,3125,Warrant Arrests,WARRANT ARREST,A1,97,Thursday,14,Part Three,COURT ST,"(42.35892279, -71.05835354)"
171218,3007,Medical Assistance,SUDDEN DEATH,B3,443,Thursday,12,Part Three,WARNER ST,"(42.29465454, -71.07983266)"
171219,2642,Missing Person Reported,TRUANCY / RUNAWAY,A15,53,Tuesday,12,Part Two,MAIN ST,"(42.37921864, -71.06891666)"
171220,617,Larceny,LARCENY THEFT FROM BUILDING,D4,145,Thursday,13,Part One,MASSACHUSETTS AVE,"(42.34243945, -71.08445530)"
171221,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,D4,145,Thursday,13,Part Two,MASSACHUSETTS AVE,"(42.34243945, -71.08445530)"
171222,2629,Harassment,HARASSMENT,B2,304,Thursday,13,Part Two,WASHINGTON ST,"(42.32042206, -71.09360887)"
171223,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,600,Thursday,12,Part Two,HUNTINGTON AVE,"(42.33638389, -71.09869457)"
171226,3410,Towed,TOWED MOTOR VEHICLE,D14,785,Thursday,12,Part Three,CLAYMOSS RD,"(42.34475099, -71.14600972)"
171227,2647,Other,THREATS TO DO BODILY HARM,C6,209,Thursday,13,Part Two,E FIRST ST,"(42.33812749, -71.03649637)"
171228,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,B2,311,Tuesday,13,Part Three,WARREN ST,"(42.31865102, -71.08162344)"
171229,3502,Missing Person Located,MISSING PERSON - LOCATED,E13,642,Monday,10,Part Three,BURROUGHS ST,"(42.31281719, -71.11612890)"
171230,1107,Fraud,FRAUD - IMPERSONATION,A1,78,Thursday,13,Part Two,BLACKSTONE ST,"(42.36165196, -71.05630529)"
171232,2647,Other,THREATS TO DO BODILY HARM,B3,428,Thursday,12,Part Two,BLUE HILL AVE,"(42.28374569, -71.09153583)"
171233,3125,Warrant Arrests,WARRANT ARREST,D4,153,Thursday,13,Part Three,BOYLSTON ST,"(42.35231190, -71.06370510)"
171234,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,277,Thursday,9,Part One,WASHINGTON ST,"(42.33239141, -71.08132800)"
171235,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,E18,542,Thursday,13,Part Two,RIVER ST,"(42.25539358, -71.12678706)"
171236,3007,Medical Assistance,SUDDEN DEATH,C11,385,Thursday,12,Part Three,HALLET ST,"(42.28076737, -71.04736497)"
171237,619,Larceny,LARCENY ALL OTHERS,B3,441,Thursday,12,Part One,KINGSDALE ST,"(42.29478707, -71.08206875)"
171238,2647,Other,THREATS TO DO BODILY HARM,B3,441,Wednesday,15,Part Two,KINGSDALE ST,"(42.29478707, -71.08206875)"
171239,3007,Medical Assistance,SUDDEN DEATH,E18,498,Thursday,11,Part Three,BRADLEE ST,"(42.27161708, -71.11807468)"
171240,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,C11,391,Thursday,12,Part Two,HARRISON AVE,"(42.33954199, -71.06940877)"
171241,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B2,611,Thursday,12,Part Two,MISSION PARK DR,"(42.33407624, -71.10842653)"
171242,3201,Property Lost,PROPERTY - LOST,A1,69,Wednesday,12,Part Three,CHARLES ST,"(42.35827471, -71.07057867)"
171243,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,434,Thursday,11,Part Three,EVANS ST,"(42.28252537, -71.07977256)"
171244,3122,Aircraft,AIRCRAFT INCIDENTS,A7,36,Thursday,12,Part Three,PRESCOTT ST,"(42.37525782, -71.02466343)"
171245,2647,Other,THREATS TO DO BODILY HARM,E13,912,Thursday,11,Part Two,PARKER ST,"(42.32469443, -71.10087902)"
171246,3125,Warrant Arrests,WARRANT ARREST,E13,912,Thursday,11,Part Three,PARKER ST,"(42.32469443, -71.10087902)"
171247,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,92,Wednesday,11,Part Two,CITY HALL PLZ,"(42.35972137, -71.05852360)"
171248,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,D4,271,Thursday,11,Part Three,MASSACHUSETTS AVE,"(42.33645000, -71.07702800)"
171249,3115,Investigate Person,INVESTIGATE PERSON,E18,521,Thursday,10,Part Three,HYDE PARK AVE,"(42.25546877, -71.12417959)"
171250,3502,Missing Person Located,MISSING PERSON - LOCATED,E18,501,Thursday,10,Part Three,HYDE PARK AVE,"(42.28016011, -71.11883467)"
171251,3501,Missing Person Reported,MISSING PERSON,E18,501,Thursday,10,Part Three,HYDE PARK AVE,"(42.28016011, -71.11883467)"
171252,2647,Other,THREATS TO DO BODILY HARM,B2,901,Thursday,12,Part Two,WARD ST,"(42.33545663, -71.09699317)"
171253,3007,Medical Assistance,SUDDEN DEATH,E18,527,Thursday,11,Part Three,PRESCOTT ST,"(42.23651388, -71.13317161)"
171254,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY †DAMAGE,D4,620,Thursday,11,Part Three,BURBANK ST,"(42.34435537, -71.08804904)"
171255,3301,Verbal Disputes,VERBAL DISPUTE,C11,393,Thursday,11,Part Three,WRENTHAM ST,"(42.28832861, -71.05938355)"
171256,3301,Verbal Disputes,VERBAL DISPUTE,B2,304,Thursday,11,Part Three,SLAYTON WAY,"(42.32177032, -71.09779774)"
171257,3112,Landlord/Tenant Disputes,LANDLORD - TENANT SERVICE,E13,636,Thursday,9,Part Three,CENTRE ST,"(42.32053872, -71.11086853)"
171258,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,311,Thursday,11,Part Two,WARREN ST,"(42.31696650, -71.08254058)"
171259,1402,Vandalism,VANDALISM,B2,311,Thursday,11,Part Two,WARREN ST,"(42.31696650, -71.08254058)"
171260,617,Larceny,LARCENY THEFT FROM BUILDING,E5,680,Thursday,11,Part One,CORINTH ST,"(42.28636893, -71.13005503)"
171262,1402,Vandalism,VANDALISM,B2,324,Thursday,8,Part Two,BROOKFORD ST,"(42.31813233, -71.07470605)"
171263,3502,Missing Person Located,MISSING PERSON - LOCATED,C11,364,Saturday,10,Part Three,LESLIE ST,"(42.29514664, -71.05860832)"
171264,3501,Missing Person Reported,MISSING PERSON,C11,364,Saturday,10,Part Three,LESLIE ST,"(42.29514664, -71.05860832)"
171266,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY †DAMAGE,B3,463,Thursday,10,Part Three,AMERICAN LEGION HWY,"(42.29708829, -71.09095546)"
171267,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,437,Thursday,10,Part Two,ELMHURST ST,"(42.28904237, -71.07657020)"
